Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2933.85	-2872.465	-61.38533	183939.1	7.362199	0.997038	0.999241	1.00076	1.00297	10.07272
100	-1626.854	-1584.429	-42.42462	770498.9	9.596614	0.998552	0.99963	1.00037	1.00145	8.052755
200	-1570.705	-1540.858	-29.84768	734080.1	12.56157	0.998517	0.999621	1.00038	1.00148	6.925405
300	-1575.04	-1539.405	-35.63485	866066.6	11.80328	0.998634	0.999651	1.00035	1.00137	7.425079
400	-1574.154	-1538.123	-36.03042	287309.9	10.82483	0.99763	0.999393	1.0006	1.00237	7.471348
500	-1607.746	-1571.749	-35.99679	765162.4	10.17392	0.998547	0.999628	1.00037	1.00145	7.440726
600	-1570.108	-1539.316	-30.79176	65957.48	11.23324	0.995055	0.998732	1.00126	1.00495	7.006321
700	-1562.206	-1539.182	-23.02312	746047.2	12.41164	0.998529	0.999624	1.00038	1.00147	6.379395
800	-1566.787	-1529.014	-37.77243	293077.1	10.13548	0.997653	0.999399	1.0006	1.00235	7.613149
900	-1568.074	-1540.084	-27.98968	3295.448	10.29189	0.977945	0.994258	1.00557	1.02223	6.670358
1000	-1562.742	-1533.206	-29.53575	992140.1	13.39616	0.998724	0.999674	1.00033	1.00128	6.866357
1100	-1560.372	-1531.53	-28.84211	482717.5	13.49449	0.998171	0.999532	1.00047	1.00183	6.80953
1200	-1578.497	-1538.218	-40.27969	755624.5	11.07959	0.998538	0.999626	1.00037	1.00146	7.85694
1300	-1587.796	-1547.294	-40.50173	642285.4	10.69423	0.998414	0.999594	1.0004	1.00159	7.886661
1400	-1552.854	-1528.84	-24.01399	293736.1	12.53482	0.997656	0.9994	1.0006	1.00235	6.460756
1500	-1562.376	-1532.795	-29.58119	319589.5	12.09745	0.997752	0.999425	1.00057	1.00225	6.912222
1600	-1585.371	-1552.678	-32.69303	192308.4	12.51688	0.997103	0.999258	1.00074	1.0029	7.153963
1700	-1575.314	-1535.81	-39.5047	763277.4	9.822405	0.998545	0.999628	1.00037	1.00146	7.767022
1800	-1576.665	-1546.987	-29.67861	659134.9	10.45325	0.998435	0.9996	1.0004	1.00157	6.852372
1900	-1572.372	-1534.214	-38.15838	70638.39	9.308335	0.995221	0.998774	1.00122	1.00479	7.571504
2000	-1570.841	-1540.021	-30.81987	96992.62	11.78125	0.995922	0.998955	1.00104	1.00408	7.01716
2100	-1567.964	-1534.15	-33.81412	885495.8	11.13667	0.99865	0.999655	1.00034	1.00135	7.2743
2200	-1571.826	-1537.565	-34.26151	40807.61	11.37526	0.993715	0.998386	1.0016	1.0063	7.315255
2300	-1566.041	-1533.139	-32.90196	819098.6	11.90987	0.998596	0.999641	1.00036	1.0014	7.191533
2400	-1567.386	-1536.512	-30.87423	521696.4	11.90475	0.998241	0.99955	1.00045	1.00176	7.021313
2500	-1578.351	-1546.219	-32.13242	651859.1	11.96603	0.998426	0.999597	1.0004	1.00157	7.125949
2600	-1566.118	-1542.061	-24.05678	681891.9	14.1563	0.998461	0.999606	1.00039	1.00154	6.431278
2700	-1560.772	-1536.563	-24.20865	156802	14.55857	0.996792	0.999178	1.00082	1.00321	6.422075
