Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
5600	-1580.146	-1544.95	-35.19538	197850.9	13.56577	0.997144	0.999269	1.00073	1.00286	7.27404
5700	-1575.194	-1540.136	-35.05837	857648.1	10.54441	0.998628	0.999649	1.00035	1.00137	7.371597
5800	-1561.767	-1532.317	-29.44992	615454.3	11.51271	0.99838	0.999586	1.00041	1.00162	6.896271
5900	-1552.727	-1529.634	-23.09264	791643.1	11.87979	0.998572	0.999635	1.00036	1.00143	6.36644
6000	-1548.918	-1523.437	-25.48075	119903.2	13.25396	0.996332	0.99906	1.00094	1.00367	6.567784
6100	-1569.246	-1540.013	-29.2324	5839.264	10.93753	0.983415	0.995703	1.0042	1.01668	6.851263
6200	-1560.08	-1538.994	-21.08608	6674.571	13.08393	0.984485	0.995983	1.00393	1.0156	6.235971
6300	-1560.428	-1531.76	-28.66791	143777.9	13.43409	0.99665	0.999142	1.00085	1.00335	6.799695
6400	-1566.317	-1532.929	-33.38842	900646.3	12.54189	0.998661	0.999658	1.00034	1.00134	7.208272
6500	-1566.821	-1533.903	-32.91802	37430.7	12.61744	0.993438	0.998314	1.00167	1.00658	7.16709
6600	-1570.087	-1544.98	-25.10635	177370	12.2558	0.996983	0.999227	1.00077	1.00302	6.545402
6700	-1566.631	-1537.318	-29.31256	899774.8	12.72584	0.99866	0.999657	1.00034	1.00134	6.878158
6800	-1558.89	-1525.365	-33.52482	589460	10.40285	0.998345	0.999577	1.00042	1.00166	7.216776
6900	-1559.202	-1533.864	-25.33848	139583.4	12.10769	0.9966	0.999129	1.00087	1.0034	6.561732
7000	-1585.5	-1546.7	-38.79997	113501	13.05317	0.99623	0.999034	1.00096	1.00378	7.592866
7100	-1564.1	-1533.729	-30.37132	351020.4	9.891822	0.997855	0.999451	1.00055	1.00215	6.8483
7200	-1565.7	-1537.623	-28.07725	861530.7	11.68405	0.998631	0.99965	1.00035	1.00137	6.782198
7300	-1577.249	-1545.46	-31.78819	458199.1	9.832738	0.998123	0.99952	1.00048	1.00188	6.982961
7400	-1558.252	-1531.633	-26.61825	739604.5	11.99422	0.998522	0.999622	1.00038	1.00148	6.665671
7500	-1571.981	-1536.549	-35.43204	170630.6	12.36287	0.996924	0.999212	1.00078	1.00308	7.382006
7600	-1554.564	-1524.079	-30.48486	677608	10.6872	0.998456	0.999605	1.00039	1.00154	6.949472
7700	-1563.792	-1538.688	-25.1037	936376	12.60353	0.998687	0.999664	1.00034	1.00131	6.547772
7800	-1558.943	-1531.11	-27.83354	729191.9	12.59396	0.998512	0.999619	1.00038	1.00149	6.76453
7900	-1559.079	-1534.991	-24.08709	660979.2	12.25122	0.998437	0.9996	1.0004	1.00156	6.462134
8000	-1583.734	-1550.467	-33.26712	5015.032	9.391962	0.982108	0.995359	1.00453	1.01801	7.062458
8100	-1568.329	-1540.291	-28.03831	732446.6	12.93829	0.998515	0.99962	1.00038	1.00149	6.772217
8200	-1550.879	-1535.744	-15.13465	393255.5	13.82872	0.997974	0.999482	1.00052	1.00203	5.799268
8300	-1576.208	-1537.89	-38.31785	355599.1	11.21897	0.997869	0.999455	1.00054	1.00213	7.676692
8400	-1577.089	-1538.131	-38.9586	448621	10.83063	0.998103	0.999515	1.00048	1.0019	7.741805
8500	-1563.925	-1538.48	-25.4445	747620.5	14.34227	0.99853	0.999624	1.00038	1.00147	6.5194
8600	-1580.709	-1555.034	-25.6751	296666.9	12.81233	0.997667	0.999403	1.0006	1.00233	6.59141
8700	-1570.584	-1537.522	-33.0616	313288.7	11.22601	0.99773	0.999419	1.00058	1.00227	7.208281
8800	-1551.131	-1524.739	-26.39227	571301.5	11.88946	0.998319	0.99957	1.00043	1.00168	6.644442
8900	-1571.749	-1540.437	-31.31199	80939.08	12.20356	0.995536	0.998855	1.00114	1.00447	7.053035
9000	-1572.802	-1543.489	-29.3127	839026.1	12.01174	0.998613	0.999645	1.00035	1.00139	6.890304
9100	-1561.142	-1534.962	-26.1802	599974.6	11.71075	0.998359	0.99958	1.00042	1.00164	6.620854
9200	-1560.812	-1530.731	-30.08054	651329.1	11.04967	0.998425	0.999597	1.0004	1.00158	6.934928
9300	-1567.463	-1531.766	-35.69705	86244.52	11.89725	0.995675	0.998891	1.0011	1.00433	7.426735
9400	-1581.928	-1541.101	-40.8265	485076.3	9.357781	0.998176	0.999533	1.00047	1.00183	7.863685
9500	-1569.615	-1536.454	-33.16113	625415.4	10.82378	0.998393	0.999589	1.00041	1.00161	7.20624
9600	-1570.059	-1547.641	-22.41834	665088.6	13.37687	0.998442	0.999601	1.0004	1.00156	6.335322
9700	-1563.873	-1538.43	-25.44231	915644.4	11.5059	0.998672	0.99966	1.00034	1.00133	6.547791
9800	-1570.184	-1539.953	-30.23095	842948.6	9.518706	0.998616	0.999646	1.00035	1.00138	6.76649
9900	-1576.401	-1539.039	-37.36115	527053.7	11.76789	0.99825	0.999552	1.00045	1.00175	7.573016
10000	-1565.559	-1538.043	-27.51601	765840.5	12.17497	0.998548	0.999629	1.00037	1.00145	6.741907
10100	-1586.134	-1554.701	-31.43312	191544.5	10.77489	0.997097	0.999257	1.00074	1.00291	7.043757
10200	-1568.837	-1540.991	-27.84685	388708.3	11.56004	0.997962	0.999479	1.00052	1.00204	6.758711
10300	-1577.858	-1543.954	-33.90448	591380.4	11.70356	0.998348	0.999577	1.00042	1.00165	7.280578
10400	-1564.339	-1528.545	-35.79387	368473.6	12.31505	0.997907	0.999464	1.00053	1.00209	7.414078
10500	-1569.374	-1541.382	-27.99164	627230.5	12.27957	0.998395	0.99959	1.00041	1.00161	6.780723
10600	-1564.033	-1539.069	-24.96495	576324.6	12.85968	0.998326	0.999572	1.00043	1.00167	6.535563
10700	-1582.154	-1550.104	-32.05009	356322.3	11.60068	0.997871	0.999455	1.00054	1.00213	7.122373
10800	-1552.561	-1533.368	-19.19283	190094.2	13.52842	0.997086	0.999254	1.00074	1.00292	6.094468
10900	-1553.68	-1520.835	-32.84503	695967.1	11.86806	0.998477	0.99961	1.00039	1.00152	7.187589
11000	-1566.087	-1533.509	-32.57808	850879.9	10.01391	0.998622	0.999648	1.00035	1.00138	7.086862
11100	-1562.948	-1535.084	-27.86317	971052.2	13.08677	0.99871	0.99967	1.00033	1.00129	6.753842
11200	-1554.363	-1530.558	-23.80534	674950	13.18249	0.998453	0.999604	1.00039	1.00155	6.442519
11300	-1567.015	-1535.786	-31.22872	17943.59	14.79505	0.990527	0.99756	1.00241	1.0095	6.883288
11400	-1590.245	-1551.28	-38.9648	252441.9	9.544408	0.997471	0.999353	1.00065	1.00253	7.686819
11500	-1566.625	-1534.923	-31.70194	241532	13.86711	0.997415	0.999338	1.00066	1.00259	6.994371
11600	-1577.21	-1541.909	-35.30152	396162.7	10.56062	0.997981	0.999483	1.00052	1.00202	7.395364
11700	-1561.597	-1534.909	-26.68766	214146.3	11.75665	0.997255	0.999297	1.0007	1.00275	6.66567
11800	-1573.528	-1540.724	-32.8041	192530.4	11.00811	0.997105	0.999259	1.00074	1.0029	7.180182
11900	-1582.582	-1545.314	-37.26824	471234.4	8.772797	0.998149	0.999526	1.00047	1.00185	7.370332
12000	-1563.824	-1525.207	-38.61693	453697.1	9.563216	0.998114	0.999517	1.00048	1.00189	7.65243
12100	-1571.173	-1539.388	-31.78526	914251.7	12.99763	0.998671	0.99966	1.00034	1.00133	7.05859
12200	-1575.168	-1537.327	-37.84126	330985.8	9.803708	0.997791	0.999435	1.00056	1.00221	7.596022
12300	-1579.648	-1550.952	-28.69562	970689.9	12.09926	0.99871	0.99967	1.00033	1.00129	6.839016
12400	-1566.44	-1537.014	-29.42629	596401.4	11.74928	0.998355	0.999579	1.00042	1.00165	6.898529
12500	-1575.328	-1541.147	-34.18146	816280.7	10.337	0.998593	0.99964	1.00036	1.00141	7.27533
12600	-1564.023	-1532.597	-31.42622	631316.6	10.36077	0.998401	0.999591	1.00041	1.0016	7.011093
12700	-1575.617	-1548.445	-27.17241	224156.3	12.6278	0.997317	0.999313	1.00068	1.00269	6.711575
12800	-1560	-1537.501	-22.49982	804256.4	11.94007	0.998583	0.999638	1.00036	1.00142	6.31967
12900	-1566.133	-1531.372	-34.761	162040.9	14.07257	0.996844	0.999192	1.0008	1.00316	7.195546
13000	-1559.784	-1531.815	-27.96915	4375.064	13.45735	0.980849	0.995026	1.00484	1.01928	6.746599
13100	-1559.615	-1532.664	-26.951	143361.1	13.28111	0.996645	0.999141	1.00086	1.00336	6.677749
13200	-1567.141	-1533.141	-34.00072	83470.71	10.16986	0.995604	0.998873	1.00112	1.0044	7.244168
13300	-1564.591	-1546.286	-18.30417	163593.1	15.03415	0.996859	0.999196	1.0008	1.00314	6.001597
13400	-1559.613	-1534.467	-25.14631	189338.8	13.17646	0.99708	0.999252	1.00074	1.00292	6.544378
13500	-1569.049	-1539.245	-29.80384	184840.3	12.09729	0.997045	0.999243	1.00075	1.00296	6.930628
13600	-1565.244	-1541.53	-23.71422	31877.3	14.07969	0.99289	0.998173	1.00181	1.00713	6.41027
13700	-1573.575	-1544.239	-29.33642	870650.3	11.98131	0.998638	0.999652	1.00035	1.00136	6.892296
13800	-1560.045	-1535.796	-24.24885	90817.91	12.8222	0.995785	0.99892	1.00107	1.00422	6.480054
13900	-1556.229	-1534.811	-21.41804	428417.8	13.06953	0.998059	0.999503	1.0005	1.00194	6.2613
14000	-1571.158	-1538.967	-32.19029	874557.3	11.15519	0.998641	0.999653	1.00035	1.00136	7.128984
14100	-1562.631	-1529.06	-33.57137	536499.4	11.53545	0.998265	0.999556	1.00044	1.00174	7.254108
14200	-1558.608	-1537.336	-21.27262	564478.3	11.85015	0.998309	0.999567	1.00043	1.00169	6.211359
14300	-1566.284	-1530.936	-35.34883	586225.1	13.87204	0.99834	0.999575	1.00042	1.00166	7.256887
14400	-1573.973	-1538.037	-35.93615	357213.6	10.05307	0.997874	0.999456	1.00054	1.00213	7.42551
14500	-1547.714	-1526.484	-21.22969	878943.4	12.33675	0.998645	0.999653	1.00035	1.00136	6.232263
14600	-1562.502	-1532.821	-29.68041	879679.4	11.61652	0.998645	0.999654	1.00035	1.00136	6.918381
14700	-1560.788	-1536.798	-23.99087	260536.2	12.36809	0.997511	0.999363	1.00063	1.00249	6.456651
14800	-1576.794	-1547.076	-29.71817	4104.369	14.68082	0.980229	0.994863	1.005	1.01991	6.790634
14900	-1574.052	-1539.361	-34.69079	399501.4	12.80576	0.99799	0.999486	1.00051	1.00201	7.295524
15000	-1577.194	-1543.439	-33.75511	2586.438	13.39767	0.975118	0.993506	1.00627	1.0251	7.181207
15100	-1576.67	-1543.653	-33.01707	674048.7	12.36571	0.998452	0.999604	1.0004	1.00155	7.186547
15200	-1565.874	-1535.894	-29.98024	123197.4	13.43467	0.996381	0.999073	1.00092	1.00362	6.897348
15300	-1556.903	-1537.538	-19.36489	506821.6	16.4447	0.998215	0.999543	1.00046	1.00179	5.997691
15400	-1575.124	-1541.55	-33.57404	222196.3	10.22152	0.997305	0.99931	1.00069	1.0027	7.206936
15500	-1565.254	-1531.883	-33.37157	201629.2	9.496874	0.997171	0.999276	1.00072	1.00283	7.092653
15600	-1565.743	-1532.069	-33.67397	640283.7	11.44505	0.998412	0.999594	1.00041	1.00159	7.263519
15700	-1575.449	-1534.907	-40.54193	723078.3	11.08348	0.998506	0.999618	1.00038	1.0015	7.880465
15800	-1566.559	-1533.65	-32.909	513552.2	10.36941	0.998227	0.999546	1.00045	1.00177	7.154913
15900	-1569.819	-1535.723	-34.09613	457254.5	12.28403	0.998121	0.999519	1.00048	1.00188	7.277647
16000	-1560.151	-1525.35	-34.80127	47784.92	10.50074	0.994191	0.998509	1.00148	1.00582	7.345008
16100	-1569.441	-1532.819	-36.62193	5952.731	13.68814	0.983573	0.995744	1.00416	1.01652	7.367205
16200	-1564.333	-1530.863	-33.47023	699220.3	10.97883	0.99848	0.999611	1.00039	1.00152	7.239917
16300	-1565.622	-1536.472	-29.15068	264841.5	10.95766	0.997531	0.999368	1.00063	1.00247	6.845115
16400	-1559.584	-1533.808	-25.77606	876069.2	11.70419	0.998642	0.999653	1.00035	1.00136	6.586078
16500	-1565.759	-1535.957	-29.80178	755065.9	12.76459	0.998538	0.999626	1.00037	1.00146	6.915243
16600	-1563.09	-1534.764	-28.3264	847924	12.44189	0.99862	0.999647	1.00035	1.00138	6.806272
16700	-1553.685	-1532.367	-21.31853	374775.3	13.44382	0.997924	0.999469	1.00053	1.00208	6.252533
16800	-1560.872	-1533.178	-27.69373	823724.3	11.88753	0.9986	0.999642	1.00036	1.0014	6.753873
16900	-1563.911	-1530.314	-33.59659	631586	11.52737	0.998401	0.999591	1.00041	1.0016	7.256354
17000	-1571.397	-1534.215	-37.18202	297573.7	12.15979	0.997671	0.999404	1.00059	1.00233	7.536768
17100	-1563.698	-1531.297	-32.40163	536520.3	11.35868	0.998265	0.999556	1.00044	1.00174	7.151569
17200	-1574.517	-1538.485	-36.03286	345220.8	12.57299	0.997837	0.999447	1.00055	1.00216	7.417018
17300	-1559.192	-1536.382	-22.81058	65790.35	15.25678	0.995049	0.99873	1.00126	1.00496	6.28837
17400	-1561.454	-1541.233	-20.22033	765900.6	12.6233	0.998548	0.999629	1.00037	1.00145	6.160904
17500	-1558.183	-1531.289	-26.89374	179952.1	12.14627	0.997005	0.999233	1.00076	1.003	6.690562
17600	-1565.667	-1534.804	-30.8625	937177.7	12.23662	0.998687	0.999664	1.00034	1.00131	7.015499
17700	-1570.419	-1539.021	-31.39799	87090.41	10.90832	0.995696	0.998897	1.0011	1.00431	7.047834
17800	-1574.432	-1540.055	-34.37693	179756.4	9.413328	0.997004	0.999233	1.00076	1.003	7.184391
17900	-1548.562	-1524.711	-23.85095	779724.4	11.50367	0.998561	0.999632	1.00037	1.00144	6.409332
18000	-1548.219	-1520.764	-27.45535	384960.8	13.27069	0.997952	0.999476	1.00052	1.00205	6.716127
18100	-1569.316	-1534.675	-34.64181	969384.7	9.918416	0.998709	0.99967	1.00033	1.00129	7.282973
18200	-1572.552	-1538.696	-33.85632	554780.1	12.1168	0.998294	0.999564	1.00044	1.00171	7.264902
18300	-1562.855	-1535.893	-26.96259	909967.5	13.63968	0.998668	0.999659	1.00034	1.00133	6.663809
18400	-1574.253	-1538.892	-35.36035	278080.9	9.904926	0.997591	0.999383	1.00061	1.00241	7.354028
18500	-1559.368	-1529.072	-30.29626	774403.3	12.21782	0.998556	0.999631	1.00037	1.00144	6.969559
18600	-1575.615	-1546.208	-29.40733	963462.3	11.25581	0.998705	0.999669	1.00033	1.0013	6.884031
18700	-1579.913	-1542.467	-37.44655	474749.4	10.76491	0.998156	0.999528	1.00047	1.00185	7.601771
18800	-1563.003	-1536.428	-26.57566	229907.5	11.40994	0.99735	0.999322	1.00068	1.00265	6.641481
18900	-1561.247	-1536.823	-24.42438	859341.5	10.98269	0.998629	0.999649	1.00035	1.00137	6.416377
19000	-1565.171	-1531.803	-33.3678	626466.2	11.23784	0.998395	0.999589	1.00041	1.00161	7.235697
19100	-1554.061	-1527.626	-26.43496	778413.4	13.45617	0.99856	0.999632	1.00037	1.00144	6.632641
19200	-1564.32	-1531.332	-32.98888	900021.3	13.28121	0.99866	0.999657	1.00034	1.00134	7.132363
19300	-1578.921	-1547.132	-31.78961	685147.1	11.30763	0.998465	0.999607	1.00039	1.00154	7.096774
19400	-1549.601	-1524.457	-25.14397	340206.6	13.73533	0.997822	0.999443	1.00056	1.00218	6.526853
19500	-1574.564	-1545.509	-29.05495	39499.43	10.12394	0.993612	0.998359	1.00163	1.0064	6.751415
19600	-1577.644	-1541.864	-35.78006	731888.2	9.560871	0.998515	0.99962	1.00038	1.00149	7.355459
19700	-1564.554	-1535.31	-29.24321	511074.8	11.06391	0.998223	0.999545	1.00045	1.00178	6.859958
19800	-1582.764	-1550.077	-32.68696	242549.5	10.64333	0.99742	0.99934	1.00066	1.00258	7.15299
19900	-1570.541	-1534.764	-35.77763	558041.5	10.21799	0.998299	0.999565	1.00043	1.0017	7.42228
20000	-1584.508	-1542.769	-41.73924	118557.9	12.08979	0.996311	0.999055	1.00094	1.00369	7.917921
20100	-1554.456	-1525.451	-29.00501	483518	12.66064	0.998173	0.999533	1.00047	1.00183	6.855831
20200	-1587.895	-1546.542	-41.35217	208034.1	8.651765	0.997215	0.999287	1.00071	1.00279	7.811782
20300	-1564.809	-1531.387	-33.42167	214497.9	11.71535	0.997257	0.999298	1.0007	1.00275	7.239144
20400	-1573.389	-1547.815	-25.5742	531837.5	11.1524	0.998258	0.999554	1.00044	1.00174	6.535668
20500	-1577.779	-1548.552	-29.22695	502865.9	10.84841	0.998208	0.999542	1.00046	1.00179	6.844583
20600	-1563.161	-1534.81	-28.35099	786508	11.24043	0.998567	0.999634	1.00037	1.00143	6.789408
20700	-1574.262	-1542.513	-31.74912	858269.7	11.41798	0.998628	0.999649	1.00035	1.00137	7.095005
20800	-1560.598	-1539.552	-21.04609	791295.8	14.94867	0.998571	0.999635	1.00036	1.00143	6.188059
20900	-1566.489	-1537.095	-29.39433	76943.81	12.11221	0.995421	0.998826	1.00117	1.00459	6.896684
21000	-1586.362	-1546.508	-39.85401	608033.2	10.42839	0.99837	0.999583	1.00042	1.00163	7.825517
21100	-1567.594	-1534.952	-32.6421	171802.8	14.89049	0.996935	0.999215	1.00078	1.00307	6.969511
21200	-1567.958	-1535.171	-32.78634	678844.6	11.63364	0.998458	0.999606	1.00039	1.00154	7.185643
21300	-1579.93	-1548.819	-31.1111	536891.4	10.99675	0.998266	0.999556	1.00044	1.00174	7.02587
21400	-1565.44	-1531.077	-34.36287	357012.6	9.755245	0.997873	0.999456	1.00054	1.00213	7.235006
21500	-1569.01	-1532.958	-36.05114	540977.4	11.26155	0.998272	0.999558	1.00044	1.00173	7.474224
21600	-1565.163	-1536.213	-28.94956	936522.3	10.8271	0.998687	0.999664	1.00034	1.00131	6.817392
21700	-1558.222	-1527.134	-31.08799	215872.2	11.52236	0.997266	0.9993	1.0007	1.00274	7.038674
21800	-1566.471	-1532.11	-34.36139	808512.8	10.96944	0.998587	0.999639	1.00036	1.00141	7.320896
21900	-1562.803	-1531.722	-31.0813	408201.9	11.67534	0.998011	0.999491	1.00051	1.00199	7.039276
22000	-1563.882	-1538.964	-24.91809	833338.6	12.59088	0.998608	0.999644	1.00036	1.00139	6.53303
22100	-1576.623	-1541.506	-35.11702	352058.3	10.33502	0.997859	0.999452	1.00055	1.00214	7.36571
22200	-1586.768	-1551.272	-35.49555	846480.5	11.19199	0.998619	0.999647	1.00035	1.00138	7.425223
22300	-1554.742	-1529.392	-25.35014	162445.8	13.57327	0.996848	0.999193	1.0008	1.00316	6.548032
22400	-1566.59	-1543.703	-22.88681	123688.3	13.26321	0.996388	0.999075	1.00092	1.00362	6.371962
22500	-1577.982	-1542.234	-35.74776	386082.8	13.27587	0.997955	0.999477	1.00052	1.00205	7.340549
22600	-1562.801	-1527.991	-34.80983	162854.8	10.9786	0.996852	0.999194	1.0008	1.00315	7.361931
22700	-1576.708	-1536.478	-40.22973	932400.3	11.34718	0.998684	0.999663	1.00034	1.00132	7.841304
22800	-1583.823	-1543.597	-40.22595	123488.4	9.338591	0.996385	0.999074	1.00092	1.00362	7.797262
22900	-1576.524	-1549.322	-27.20159	884009.1	12.64387	0.998648	0.999654	1.00034	1.00135	6.713647
23000	-1557.144	-1528.755	-28.38895	286751	13.82937	0.997627	0.999393	1.00061	1.00237	6.757692
23100	-1559.924	-1531.979	-27.94478	663124.4	12.12501	0.998439	0.999601	1.0004	1.00156	6.777046
23200	-1574.386	-1546.343	-28.04212	600488.9	15.01173	0.99836	0.999581	1.00042	1.00164	6.651098
23300	-1589.167	-1553.739	-35.42823	722216.9	11.33285	0.998505	0.999618	1.00038	1.0015	7.418314
23400	-1565.904	-1534.066	-31.8385	451103.1	13.36265	0.998108	0.999516	1.00048	1.00189	7.040473
23500	-1591.168	-1550.069	-41.09889	169060.7	13.00988	0.99691	0.999209	1.00079	1.00309	7.773799
23600	-1568.347	-1530.658	-37.68912	614528.4	10.98859	0.998379	0.999585	1.00041	1.00162	7.624116
23700	-1573.664	-1541.157	-32.50751	927939.7	12.47998	0.998681	0.999663	1.00034	1.00132	7.140734
23800	-1576.233	-1542.526	-33.70634	753888.2	10.81061	0.998536	0.999626	1.00037	1.00146	7.256122
23900	-1558.458	-1529.173	-29.2844	611407.5	12.49774	0.998375	0.999584	1.00041	1.00163	6.882078
24000	-1581.709	-1551.558	-30.15115	758033.3	11.61344	0.99854	0.999627	1.00037	1.00146	6.958862
24100	-1560.759	-1533.18	-27.57906	290300.8	13.37799	0.997642	0.999396	1.0006	1.00236	6.721068
24200	-1569.381	-1530.1	-39.28165	727564.5	13.19368	0.99851	0.999619	1.00038	1.00149	7.615361
24300	-1592.785	-1552.145	-40.63987	188590.4	12.12059	0.997075	0.999251	1.00075	1.00293	7.824433
24400	-1574.233	-1541.874	-32.35958	646812.2	10.07717	0.99842	0.999596	1.0004	1.00158	7.072552
24500	-1557.822	-1527.323	-30.49926	785114.1	12.71085	0.998566	0.999633	1.00037	1.00143	6.971985
24600	-1564.906	-1530.39	-34.51536	802139.5	10.35151	0.998581	0.999637	1.00036	1.00142	7.308627
24700	-1566.433	-1540.004	-26.42931	672426.7	11.80868	0.99845	0.999604	1.0004	1.00155	6.645327
