Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2889.266	-2634.412	-254.8538	827358.3	0.9366022	0.998603	0.999643	1.00036	1.0014	99.9926
100	-1587.29	-1549.78	-37.51022	538886.2	11.24061	0.998269	0.999557	1.00044	1.00173	7.604251
200	-1569.403	-1536.516	-32.88775	210691.8	13.52832	0.997232	0.999291	1.00071	1.00277	7.106784
300	-1591.121	-1552.924	-38.19691	975424.9	9.875629	0.998713	0.999671	1.00033	1.00129	7.638171
400	-1590.522	-1557.462	-33.05989	166733.7	12.25242	0.996889	0.999203	1.00079	1.00311	7.19449
500	-1570.82	-1537.167	-33.65255	94180.82	10.42342	0.995861	0.998939	1.00105	1.00414	7.230502
600	-1572.904	-1536.213	-36.69103	29250.41	10.31563	0.992578	0.998092	1.00189	1.00744	7.517042
700	-1568.397	-1539.158	-29.23914	1664.07	11.0094	0.969014	0.99187	1.00779	1.03133	6.856411
800	-1563.017	-1533.046	-29.97072	609085.9	12.29836	0.998372	0.999584	1.00042	1.00163	6.941548
900	-1567.263	-1538.64	-28.62298	921084	10.46388	0.998676	0.999661	1.00034	1.00132	6.752581
1000	-1563.006	-1536.118	-26.88811	431549.8	11.54098	0.998066	0.999505	1.00049	1.00194	6.674977
1100	-1572.747	-1543.125	-29.62165	654447.4	13.34345	0.998429	0.999598	1.0004	1.00157	6.875594
1200	-1570.797	-1536.311	-34.48612	855492.4	14.30202	0.998626	0.999649	1.00035	1.00137	7.153799
1300	-1566.884	-1536.472	-30.4116	294316.5	10.3375	0.997658	0.999401	1.0006	1.00234	6.910688
1400	-1562.785	-1527.151	-35.63366	976052.9	12.17466	0.998714	0.999671	1.00033	1.00129	7.408672
1500	-1576.659	-1536.753	-39.90568	45642.34	12.62222	0.994057	0.998474	1.00151	1.00596	7.720452
1600	-1554.126	-1525.99	-28.13595	4611.424	12.15273	0.981344	0.995157	1.00472	1.01878	6.792835
1700	-1553.381	-1538.081	-15.30007	747519.8	16.83774	0.99853	0.999624	1.00038	1.00147	5.730844
1800	-1573.303	-1546.905	-26.398	3895.327	11.86165	0.979708	0.994725	1.00513	1.02044	6.644191
1900	-1593.372	-1549.713	-43.6585	570158.7	11.4176	0.998317	0.99957	1.00043	1.00168	8.138072
2000	-1546.496	-1524.496	-21.99967	451009	13.36628	0.998108	0.999516	1.00048	1.00189	6.30414
2100	-1553.933	-1528.681	-25.2518	260224.2	15.45937	0.997509	0.999362	1.00064	1.00249	6.433783
2200	-1567.685	-1532.506	-35.17951	482056.1	10.88663	0.99817	0.999532	1.00047	1.00183	7.394088
2300	-1576.456	-1540.143	-36.31308	512721.9	11.5156	0.998225	0.999546	1.00045	1.00178	7.492331
2400	-1571.78	-1546.3	-25.47997	108617.2	12.85392	0.996146	0.999012	1.00098	1.00386	6.575686
2500	-1564.496	-1536.223	-28.27325	457534.8	12.08933	0.998121	0.999519	1.00048	1.00188	6.804088
2600	-1561.249	-1539.389	-21.86091	363049.9	13.19601	0.997891	0.99946	1.00054	1.00211	6.294967
2700	-1569.444	-1536.524	-32.91993	722100.8	12.05337	0.998505	0.999618	1.00038	1.0015	7.189485
2800	-1584.362	-1548.712	-35.64967	203802.4	12.5964	0.997186	0.999279	1.00072	1.00282	7.384994
2900	-1556.787	-1523.523	-33.26443	180978.8	10.4873	0.997014	0.999235	1.00076	1.00299	7.197754
3000	-1562.117	-1535.924	-26.19242	402499.5	13.90967	0.997997	0.999488	1.00051	1.002	6.594991
3100	-1560.909	-1536.64	-24.26913	847819.5	14.94694	0.99862	0.999647	1.00035	1.00138	6.403773
3200	-1575.938	-1544.687	-31.25089	905157.4	11.717	0.998664	0.999658	1.00034	1.00134	7.05385
3300	-1583.232	-1545.795	-37.43675	363192.9	9.447733	0.997892	0.99946	1.00054	1.00211	7.51419
3400	-1580.479	-1553.111	-27.36752	595311.4	11.85804	0.998353	0.999579	1.00042	1.00165	6.725853
