Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
5600	-1576.706	-1538.637	-38.06917	705982.8	13.99509	0.998488	0.999613	1.00039	1.00151	7.439339
5700	-1567.299	-1538.302	-28.99696	147814	12.36535	0.996696	0.999154	1.00084	1.00331	6.861451
5800	-1558.586	-1528.249	-30.3372	360637.5	14.45166	0.997884	0.999459	1.00054	1.00212	6.851785
5900	-1573.054	-1540.803	-32.25091	320821.1	11.74887	0.997757	0.999426	1.00057	1.00225	7.138941
6000	-1570.688	-1540.361	-30.32717	412057.5	11.74505	0.998021	0.999494	1.00051	1.00198	6.975183
6100	-1570.078	-1539.014	-31.0642	846998.3	11.61765	0.998619	0.999647	1.00035	1.00138	7.037512
6200	-1579.6	-1543.36	-36.24072	581162.8	13.16088	0.998333	0.999574	1.00043	1.00167	7.387705
6300	-1582.144	-1548.218	-33.92598	514885.3	11.96005	0.998229	0.999547	1.00045	1.00177	7.276023
6400	-1579.056	-1543.645	-35.41148	570641.6	13.49946	0.998318	0.99957	1.00043	1.00168	7.295908
6500	-1565.726	-1535.895	-29.83027	679665.2	12.87595	0.998459	0.999606	1.00039	1.00154	6.91326
6600	-1559.161	-1534.82	-24.34097	824.4503	12.11969	0.956084	0.988349	1.01096	1.04461	6.47968
6700	-1554.622	-1526.367	-28.25561	9324.974	10.98775	0.986868	0.996607	1.00333	1.01319	6.765575
6800	-1572.925	-1537.584	-35.34082	853933	11.59494	0.998625	0.999648	1.00035	1.00138	7.406178
6900	-1567.354	-1537.65	-29.70434	700355.7	12.20337	0.998482	0.999612	1.00039	1.00152	6.921302
7000	-1569.132	-1537.559	-31.57321	287072.5	12.96333	0.997629	0.999393	1.0006	1.00237	7.044111
7100	-1571.393	-1535.779	-35.61419	156553	12.35195	0.996789	0.999178	1.00082	1.00321	7.397374
7200	-1576.473	-1543.26	-33.21224	51937.23	9.807026	0.994428	0.99857	1.00142	1.00558	7.124307
7300	-1566.267	-1534.516	-31.7511	605111.1	10.53749	0.998366	0.999582	1.00042	1.00163	7.057417
7400	-1581.355	-1544.384	-36.9712	411049	8.995483	0.998018	0.999493	1.00051	1.00198	7.386766
7500	-1574.839	-1543.558	-31.28161	968759.1	11.29083	0.998709	0.99967	1.00033	1.00129	7.051446
7600	-1554.295	-1531.868	-22.42758	910685.6	13.82408	0.998668	0.999659	1.00034	1.00133	6.326771
7700	-1569.301	-1534.773	-34.52784	620123.1	11.87985	0.998386	0.999587	1.00041	1.00161	7.329014
7800	-1558.047	-1531.242	-26.80429	756039.7	12.87498	0.998539	0.999626	1.00037	1.00146	6.678271
7900	-1571.103	-1538.254	-32.84916	715838.7	12.0673	0.998498	0.999616	1.00038	1.0015	7.183227
8000	-1569.679	-1537.124	-32.55463	513323.6	13.89477	0.998226	0.999546	1.00045	1.00177	7.053607
8100	-1543.363	-1521.063	-22.29947	650288.9	14.14507	0.998424	0.999597	1.0004	1.00158	6.307539
8200	-1568.647	-1535.46	-33.18626	403166.2	12.54907	0.997999	0.999488	1.00051	1.002	7.1918
8300	-1564.516	-1533.67	-30.846	691495.6	12.23541	0.998472	0.999609	1.00039	1.00153	7.014177
8400	-1558.303	-1525.065	-33.23841	782633.9	14.05323	0.998564	0.999633	1.00037	1.00144	7.089062
8500	-1574.276	-1539.756	-34.51981	629637.1	12.67772	0.998399	0.99959	1.00041	1.0016	7.290364
8600	-1575.667	-1544.216	-31.45126	373706.4	13.17072	0.997921	0.999468	1.00053	1.00208	7.023215
8700	-1570.648	-1534.002	-36.64615	953526.9	12.3284	0.998699	0.999667	1.00033	1.0013	7.482435
8800	-1563.349	-1534.211	-29.13777	92589.32	10.9147	0.995826	0.99893	1.00106	1.00418	6.841071
8900	-1544.532	-1524.622	-19.90973	327383.5	12.55047	0.997779	0.999432	1.00057	1.00222	6.13388
9000	-1554.035	-1530.973	-23.06163	652685.1	11.83283	0.998427	0.999598	1.0004	1.00157	6.361427
9100	-1568.721	-1533.052	-35.66958	712470	11.2361	0.998494	0.999615	1.00038	1.00151	7.440532
9200	-1564.29	-1530.068	-34.22272	350503.6	11.23635	0.997854	0.999451	1.00055	1.00215	7.311765
9300	-1580.465	-1541.768	-38.69692	859065.8	8.72794	0.998629	0.999649	1.00035	1.00137	7.523005
9400	-1563.536	-1536.4	-27.13585	358771.3	12.29133	0.997879	0.999457	1.00054	1.00212	6.711039
9500	-1552.574	-1529.217	-23.35689	971606	11.8206	0.998711	0.99967	1.00033	1.00129	6.385759
