Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2797.926	-2672.067	-125.8588	465443.5	4.482717	0.998137	0.999524	1.00048	1.00186	21.64665
100	-1591.813	-1557.588	-34.22441	410916.3	10.78272	0.998018	0.999493	1.00051	1.00198	7.303091
200	-1585.162	-1551.989	-33.17227	525459.4	9.997517	0.998247	0.999552	1.00045	1.00175	7.144314
300	-1570.017	-1540.898	-29.11966	443880.6	15.97243	0.998093	0.999512	1.00049	1.00191	6.6366
400	-1566.638	-1545.681	-20.95645	576425.3	12.93045	0.998326	0.999572	1.00043	1.00167	6.224771
500	-1580.951	-1557.8	-23.15084	592216.4	14.10936	0.998349	0.999578	1.00042	1.00165	6.369122
600	-1584.517	-1558.891	-25.62574	619838.3	11.02337	0.998386	0.999587	1.00041	1.00161	6.529452
700	-1578.148	-1549.224	-28.92406	850912.6	12.22488	0.998622	0.999648	1.00035	1.00138	6.857189
800	-1596.36	-1564.225	-32.13554	826390.5	10.57187	0.998602	0.999643	1.00036	1.0014	7.096369
900	-1573.695	-1550.193	-23.50286	959431.9	12.38848	0.998703	0.999668	1.00033	1.0013	6.417605
1000	-1584.28	-1556.299	-27.98059	266305.8	11.83791	0.997538	0.99937	1.00063	1.00246	6.77722
1100	-1574.506	-1546.501	-28.00406	222293.7	10.59381	0.997305	0.99931	1.00069	1.0027	6.707902
1200	-1568.88	-1549.162	-19.71837	997168.6	17.15501	0.998727	0.999675	1.00032	1.00127	5.971203
1300	-1577.137	-1547.679	-29.45871	553018	10.89066	0.998291	0.999563	1.00044	1.00171	6.868872
1400	-1576.242	-1545.305	-30.93644	509752.1	11.7965	0.99822	0.999545	1.00045	1.00178	7.027032
1500	-1568.825	-1546.332	-22.49303	776307.5	11.40888	0.998558	0.999631	1.00037	1.00144	6.283577
1600	-1580.528	-1550.569	-29.95888	389034.2	11.30091	0.997963	0.999479	1.00052	1.00204	6.934643
1700	-1598.317	-1556.4	-41.91692	267744.9	8.435007	0.997545	0.999371	1.00063	1.00246	7.828934
1800	-1568.29	-1544.102	-24.18791	331927.9	14.62233	0.997795	0.999436	1.00056	1.00221	6.417184
1900	-1567.237	-1543.864	-23.37322	155297.4	12.39863	0.996776	0.999174	1.00082	1.00323	6.407345
2000	-1585.769	-1548.944	-36.82514	822204.6	10.02111	0.998599	0.999642	1.00036	1.0014	7.511533
2100	-1576.914	-1546.682	-30.23186	655304.3	12.28999	0.99843	0.999599	1.0004	1.00157	6.962951
2200	-1584.989	-1553.907	-31.0821	43992.61	10.60698	0.993946	0.998446	1.00154	1.00607	6.999472
2300	-1588.303	-1548.89	-39.41286	673797.7	9.849796	0.998452	0.999604	1.0004	1.00155	7.759574
2400	-1601.336	-1567.532	-33.80432	319988.9	12.63598	0.997754	0.999425	1.00057	1.00225	7.2363
2500	-1571.538	-1547.992	-23.54598	811336.5	14.74648	0.998589	0.999639	1.00036	1.00141	6.366676
2600	-1598.145	-1563.234	-34.91042	850852.3	12.68411	0.998622	0.999648	1.00035	1.00138	7.320762
2700	-1576.59	-1552.534	-24.05692	650821	11.82664	0.998425	0.999597	1.0004	1.00158	6.445257
2800	-1576.691	-1549.129	-27.5622	510876.2	11.00472	0.998222	0.999545	1.00045	1.00178	6.703744
2900	-1569.102	-1545.765	-23.33735	599582.2	12.16303	0.998359	0.99958	1.00042	1.00164	6.39831
