Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2747.836	-2660.409	-87.42707	673596.1	7.105928	0.998452	0.999604	1.0004	1.00155	13.68419
100	-1588.701	-1554.742	-33.9584	89999.5	11.00639	0.995766	0.998915	1.00108	1.00424	7.285004
200	-1567.511	-1535.78	-31.73135	893029.1	11.7573	0.998655	0.999656	1.00034	1.00135	7.094674
300	-1586.977	-1550.473	-36.50414	984140.3	8.627308	0.998719	0.999672	1.00033	1.00128	7.244664
400	-1574.45	-1543.787	-30.66301	819711.5	11.64696	0.998596	0.999641	1.00036	1.0014	7.003241
500	-1564.31	-1534.906	-29.40332	831029	10.80178	0.998606	0.999644	1.00036	1.00139	6.857426
600	-1553.026	-1526.639	-26.38694	488889.3	12.22824	0.998183	0.999535	1.00046	1.00182	6.64968
700	-1572.623	-1536.372	-36.25088	36287.99	11.07521	0.993335	0.998288	1.0017	1.00668	7.493323
800	-1563.2	-1534.92	-28.27997	599727	12.20245	0.998359	0.99958	1.00042	1.00164	6.804585
900	-1557.463	-1534.249	-23.21343	495883.4	13.19267	0.998196	0.999538	1.00046	1.00181	6.397501
1000	-1579.356	-1541.216	-38.14058	853570.3	10.45312	0.998625	0.999648	1.00035	1.00138	7.661876
1100	-1582.686	-1553.371	-29.31463	701545.3	15.61234	0.998483	0.999612	1.00039	1.00152	6.682624
1200	-1572.133	-1545.467	-26.66657	61601.14	13.43533	0.994883	0.998687	1.0013	1.00513	6.650672
1300	-1554.701	-1535.247	-19.4548	699783.9	14.22025	0.998481	0.999611	1.00039	1.00152	6.104777
1400	-1577.498	-1540.013	-37.48457	164715.6	9.930659	0.99687	0.999198	1.0008	1.00313	7.570567
1500	-1559.277	-1526.975	-32.30188	39428.74	13.06394	0.993606	0.998358	1.00163	1.00641	7.094401
1600	-1578.764	-1539.494	-39.26949	822768.2	12.91875	0.998599	0.999642	1.00036	1.0014	7.642189
1700	-1578.973	-1542.181	-36.79186	77059.25	10.18826	0.995425	0.998827	1.00117	1.00458	7.51976
1800	-1590.482	-1550.53	-39.95156	313221.1	11.24654	0.99773	0.999419	1.00058	1.00227	7.821197
1900	-1569.712	-1539.364	-30.34763	900862.2	12.09864	0.998661	0.999658	1.00034	1.00134	6.975562
2000	-1559.635	-1530.748	-28.88738	124705.6	12.39388	0.996403	0.999078	1.00092	1.0036	6.85216
2100	-1567.622	-1534.347	-33.27528	53426.7	12.14565	0.994506	0.99859	1.0014	1.0055	7.215974
2200	-1574.225	-1536.025	-38.19941	192421.9	10.32581	0.997104	0.999258	1.00074	1.0029	7.663632
2300	-1587.895	-1549.689	-38.20675	982813.6	10.02569	0.998718	0.999672	1.00033	1.00128	7.649691
2400	-1559.336	-1531.245	-28.0912	780753.5	11.2587	0.998562	0.999632	1.00037	1.00144	6.767252
2500	-1573.644	-1540.447	-33.19632	92468.57	11.93382	0.995823	0.998929	1.00106	1.00418	7.215674
2600	-1561.347	-1535.552	-25.79433	40687.89	14.28896	0.993705	0.998383	1.0016	1.00631	6.546799
2700	-1569.564	-1543.697	-25.86681	913221.9	12.4044	0.99867	0.99966	1.00034	1.00133	6.608485
2800	-1571.551	-1537.307	-34.24355	160688	10.34995	0.996831	0.999188	1.00081	1.00317	7.282259
