Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
5600	-1564.481	-1539.775	-24.70662	701293.7	16.22502	0.998483	0.999612	1.00039	1.00152	6.340377
5700	-1574.052	-1540.839	-33.21373	252106.7	13.69042	0.99747	0.999352	1.00065	1.00253	7.118032
5800	-1576.038	-1543.806	-32.23158	845531.3	11.58719	0.998618	0.999647	1.00035	1.00138	7.138026
5900	-1581.693	-1544.701	-36.99144	528442.2	10.3499	0.998252	0.999553	1.00045	1.00175	7.547754
6000	-1574.957	-1537.742	-37.2145	903865.8	8.297332	0.998663	0.999658	1.00034	1.00134	7.226833
6100	-1586.8	-1546.199	-40.60051	691427.9	11.70928	0.998472	0.999609	1.00039	1.00153	7.852327
6200	-1575.404	-1544.844	-30.55932	328168.2	11.13645	0.997782	0.999432	1.00057	1.00222	6.98203
6300	-1579.07	-1540.605	-38.46498	591336	12.49018	0.998348	0.999577	1.00042	1.00165	7.617271
6400	-1582.05	-1549.285	-32.76517	988968.3	13.02654	0.998722	0.999673	1.00033	1.00128	7.132202
6500	-1561.431	-1539.095	-22.33599	381300.3	13.71025	0.997942	0.999473	1.00053	1.00206	6.323018
6600	-1557.56	-1529.922	-27.63836	87028.82	12.11858	0.995695	0.998896	1.0011	1.00431	6.751743
6700	-1573.555	-1543.332	-30.22348	910994.4	12.63906	0.998669	0.99966	1.00034	1.00133	6.952811
6800	-1560.97	-1531.63	-29.34025	308016	14.29374	0.997711	0.999414	1.00058	1.00229	6.794607
6900	-1554.938	-1528.322	-26.61556	786481.2	15.60864	0.998567	0.999634	1.00037	1.00143	6.510043
7000	-1553.605	-1526.349	-27.25609	744948	12.77481	0.998528	0.999623	1.00038	1.00147	6.715602
7100	-1588.547	-1547.325	-41.22243	556897.8	9.762289	0.998297	0.999564	1.00043	1.0017	7.938585
7200	-1568.052	-1532.641	-35.4118	641103.5	10.71767	0.998413	0.999594	1.00041	1.00159	7.411428
7300	-1575.708	-1545.936	-29.77212	975198	14.61363	0.998713	0.999671	1.00033	1.00129	6.799785
7400	-1573.725	-1537.174	-36.55102	566402.4	11.90549	0.998312	0.999568	1.00043	1.00169	7.498129
7500	-1565.312	-1533.33	-31.98255	881474.6	11.01622	0.998646	0.999654	1.00035	1.00135	7.105854
7600	-1578.366	-1542.642	-35.72338	809258.2	12.6179	0.998587	0.999639	1.00036	1.00141	7.3894
7700	-1568.412	-1534.438	-33.97413	108987.5	10.04622	0.996152	0.999014	1.00098	1.00385	7.229644
7800	-1559.452	-1524.941	-34.51139	793422.4	13.75142	0.998573	0.999635	1.00036	1.00143	7.207415
7900	-1572.611	-1542.336	-30.27457	964635.9	16.40865	0.998706	0.999669	1.00033	1.00129	6.664812
8000	-1566.336	-1537.94	-28.39622	401983.9	11.89538	0.997996	0.999487	1.00051	1.00201	6.813057
8100	-1563.404	-1531.834	-31.56973	361791.4	11.90014	0.997888	0.999459	1.00054	1.00211	7.079789
8200	-1577.684	-1547.806	-29.87771	256505.3	11.66556	0.997491	0.999358	1.00064	1.00251	6.936065
8300	-1565.371	-1534.679	-30.69244	819901.4	10.9486	0.998597	0.999641	1.00036	1.0014	6.985342
8400	-1548.44	-1522.762	-25.67771	267500.7	10.66953	0.997543	0.999371	1.00063	1.00246	6.497581
8500	-1574.67	-1531.378	-43.29177	274854.5	11.8894	0.997576	0.99938	1.00062	1.00243	8.065833
8600	-1576.538	-1544.745	-31.79264	765345.7	13.49022	0.998547	0.999629	1.00037	1.00145	7.028472
8700	-1569.73	-1543.554	-26.17547	951474.4	13.27605	0.998697	0.999667	1.00033	1.0013	6.619514
8800	-1574.827	-1538.607	-36.22039	322010.3	12.8233	0.997761	0.999427	1.00057	1.00224	7.413627
8900	-1568.043	-1536.193	-31.85016	488237.2	11.41396	0.998181	0.999535	1.00046	1.00182	7.103804
9000	-1560.525	-1532.777	-27.74741	640041.9	11.95018	0.998412	0.999594	1.00041	1.00159	6.759297
9100	-1565.247	-1535.814	-29.43281	301381.4	12.38648	0.997686	0.999408	1.00059	1.00232	6.896308
9200	-1575.061	-1540.118	-34.94337	3968.023	11.37314	0.979894	0.994774	1.00508	1.02025	7.375217
9300	-1568.448	-1537.133	-31.31539	823458.4	13.15477	0.9986	0.999642	1.00036	1.0014	7.013815
9400	-1557.453	-1529.339	-28.11332	857796.1	12.15988	0.998628	0.999649	1.00035	1.00137	6.790973
9500	-1563.355	-1533.394	-29.96046	131056.5	11.18852	0.996491	0.999101	1.00089	1.00351	6.93052
9600	-1556.844	-1535.687	-21.15647	307948.4	11.45068	0.99771	0.999414	1.00058	1.00229	6.170333
9700	-1584.587	-1545.529	-39.058	470575.3	11.23509	0.998148	0.999526	1.00047	1.00185	7.742132
9800	-1563.21	-1538.665	-24.54433	816263	11.6769	0.998593	0.99964	1.00036	1.00141	6.479461
9900	-1571.033	-1546.401	-24.6325	419153	13.21732	0.998037	0.999498	1.0005	1.00196	6.504566
10000	-1569.71	-1531.242	-38.46732	664730.1	10.12286	0.998441	0.999601	1.0004	1.00156	7.681074
10100	-1553.146	-1536.809	-16.33646	177860.3	13.35109	0.996988	0.999229	1.00077	1.00302	5.880125
10200	-1580.322	-1544.555	-35.76707	968938.1	10.75827	0.998709	0.99967	1.00033	1.00129	7.4456
10300	-1571.375	-1542.22	-29.15553	552241.6	10.66569	0.99829	0.999563	1.00044	1.00171	6.823198
10400	-1555.587	-1526.865	-28.72167	625574.1	12.25995	0.998393	0.999589	1.00041	1.00161	6.840355
10500	-1578.859	-1546.463	-32.39639	269394.6	11.38236	0.997552	0.999373	1.00062	1.00245	7.151366
10600	-1583.473	-1543.843	-39.62977	972520.2	10.87806	0.998711	0.99967	1.00033	1.00129	7.803022
10700	-1567.753	-1529.653	-38.10061	510444	10.94236	0.998221	0.999545	1.00045	1.00178	7.662028
10800	-1565.511	-1537.786	-27.72433	115692.1	11.10234	0.996265	0.999043	1.00095	1.00374	6.72526
10900	-1564.468	-1534.152	-30.31636	347096.6	11.26004	0.997843	0.999448	1.00055	1.00216	6.964937
11000	-1557.37	-1524.746	-32.6242	63834.87	12.99908	0.994974	0.998711	1.00128	1.00504	7.123047
11100	-1599.582	-1559.151	-40.43109	417558.8	13.67949	0.998034	0.999497	1.0005	1.00197	7.646519
11200	-1569.271	-1531.722	-37.54959	9132.909	11.56843	0.986731	0.996572	1.00337	1.01333	7.59772
11300	-1567.468	-1533.336	-34.13273	814419.3	11.37165	0.998592	0.99964	1.00036	1.00141	7.303944
11400	-1576.861	-1543.76	-33.10165	687327.5	12.75389	0.998467	0.999608	1.00039	1.00153	7.174357
