Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2696.869	-2596.846	-100.0229	348187.2	5.089427	0.997847	0.999449	1.00055	1.00215	16.08591
100	-1619.545	-1568.353	-51.19207	255060.5	8.017953	0.997484	0.999356	1.00064	1.00252	8.865798
200	-1577.419	-1542.736	-34.68362	403624.6	9.631355	0.998	0.999488	1.00051	1.002	7.251149
300	-1563.914	-1533.485	-30.42861	161723	11.87635	0.996841	0.999191	1.00081	1.00316	6.983965
400	-1577.626	-1539.895	-37.73111	468362.4	11.10424	0.998143	0.999525	1.00047	1.00186	7.626552
500	-1563.902	-1532.548	-31.35362	538529.9	11.61137	0.998268	0.999557	1.00044	1.00173	7.062393
600	-1559.302	-1535.462	-23.83935	721521.8	14.23846	0.998504	0.999617	1.00038	1.0015	6.41229
700	-1562.486	-1535.486	-26.99963	576681.2	13.18138	0.998327	0.999572	1.00043	1.00167	6.684869
800	-1557.502	-1529.96	-27.54208	797800.9	12.85347	0.998577	0.999636	1.00036	1.00142	6.736123
900	-1576.475	-1544.72	-31.7549	758122.3	11.59417	0.998541	0.999627	1.00037	1.00146	7.096909
1000	-1572.755	-1546.347	-26.40725	842866.2	12.94236	0.998616	0.999646	1.00035	1.00138	6.646065
1100	-1568.295	-1536.97	-31.3248	523344	10.61942	0.998243	0.999551	1.00045	1.00176	7.023274
1200	-1565.247	-1545.76	-19.48732	112563.4	13.2087	0.996214	0.99903	1.00097	1.00379	6.115213
1300	-1553.219	-1528.806	-24.4138	341564.9	13.06161	0.997826	0.999444	1.00055	1.00218	6.490629
1400	-1564.94	-1530.777	-34.16279	326977.6	10.53676	0.997778	0.999431	1.00057	1.00222	7.286244
1500	-1553.873	-1529.421	-24.45247	390512.6	13.19939	0.997967	0.99948	1.00052	1.00203	6.491293
1600	-1561.432	-1535.354	-26.07805	834813.3	12.88139	0.998609	0.999644	1.00036	1.00139	6.621753
1700	-1572.886	-1536.899	-35.98693	492386.6	9.782872	0.998189	0.999537	1.00046	1.00181	7.404592
1800	-1565.1	-1534.497	-30.60346	340381.7	11.26843	0.997822	0.999443	1.00056	1.00218	6.990699
1900	-1551.864	-1522.848	-29.01626	782525.6	13.67032	0.998563	0.999633	1.00037	1.00144	6.812606
2000	-1572.975	-1539.402	-33.57309	52123.37	10.17429	0.994438	0.998572	1.00142	1.00557	7.202533
2100	-1570.815	-1542.244	-28.57128	585018.9	12.25451	0.998339	0.999575	1.00042	1.00166	6.828129
2200	-1567.157	-1533.932	-33.22517	158616.9	10.88986	0.99681	0.999183	1.00081	1.00319	7.214687
2300	-1567.108	-1538.778	-28.32957	321889.3	13.15925	0.99776	0.999427	1.00057	1.00224	6.786659
