Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
5600	-1574.094	-1544.423	-29.6714	726545.7	11.39402	0.998509	0.999619	1.00038	1.00149	6.912323
5700	-1585.29	-1548.946	-36.34399	491837.2	12.23483	0.998188	0.999536	1.00046	1.00181	7.463561
5800	-1566.534	-1539.005	-27.52876	687605.2	12.44828	0.998468	0.999608	1.00039	1.00153	6.742106
5900	-1590.549	-1559.227	-31.32205	544989.2	11.3773	0.998279	0.99956	1.00044	1.00172	7.056886
6000	-1571.858	-1542.556	-29.30278	168805.6	11.66425	0.996908	0.999208	1.00079	1.0031	6.886758
6100	-1575.812	-1546.979	-28.83295	189641.2	10.11043	0.997083	0.999253	1.00074	1.00292	6.72752
6200	-1570.285	-1545.332	-24.95247	370694.6	13.81719	0.997913	0.999466	1.00053	1.00209	6.509694
6300	-1593.347	-1558.91	-34.43704	513892	12.10294	0.998227	0.999547	1.00045	1.00177	7.313394
6400	-1581.177	-1551.622	-29.55483	552981.1	11.80307	0.998291	0.999563	1.00044	1.00171	6.909964
6500	-1586.237	-1552.292	-33.94558	608874.4	11.12026	0.998371	0.999583	1.00042	1.00163	7.285879
6600	-1585.733	-1554.644	-31.08905	608820.4	12.65458	0.998371	0.999583	1.00042	1.00163	7.020681
6700	-1584.271	-1556.768	-27.50318	658010.7	13.94825	0.998433	0.999599	1.0004	1.00157	6.687049
6800	-1581.051	-1552.31	-28.74045	13100.76	11.77399	0.988917	0.997142	1.00281	1.01113	6.840549
6900	-1588.381	-1559.28	-29.10097	646400.1	10.34002	0.998419	0.999596	1.0004	1.00158	6.784205
7000	-1588.255	-1554.728	-33.52727	123692.1	9.792146	0.996388	0.999075	1.00092	1.00362	7.154428
7100	-1577.241	-1545.633	-31.60864	372686.9	13.52884	0.997919	0.999467	1.00053	1.00208	7.012197
7200	-1583.599	-1553.182	-30.41746	74989.1	10.55294	0.995362	0.998811	1.00118	1.00465	6.932215
7300	-1565.854	-1540.935	-24.91887	496533.4	13.78373	0.998197	0.999539	1.00046	1.0018	6.508593
7400	-1580.829	-1550.21	-30.61881	566973.7	14.10796	0.998312	0.999568	1.00043	1.00169	6.898521
7500	-1588.559	-1557.718	-30.84095	205168.2	15.04728	0.997195	0.999282	1.00072	1.00281	6.834276
7600	-1583.513	-1551.555	-31.95841	994812	10.614	0.998726	0.999674	1.00033	1.00127	7.08257
7700	-1582.751	-1553.94	-28.81088	361240.5	11.25142	0.997886	0.999459	1.00054	1.00212	6.830837
7800	-1602.925	-1558.168	-44.75739	620309.6	8.699461	0.998387	0.999587	1.00041	1.00161	8.213003
7900	-1573.329	-1545.451	-27.87779	395733	12.65894	0.99798	0.999483	1.00052	1.00202	6.766832
8000	-1573.672	-1544.716	-28.95683	189068.6	12.62398	0.997078	0.999252	1.00075	1.00292	6.85298
8100	-1565.089	-1534.62	-30.46921	430304.4	11.66271	0.998063	0.999504	1.00049	1.00194	6.986745
8200	-1565.752	-1540.546	-25.20575	511515.6	12.82349	0.998223	0.999545	1.00045	1.00178	6.55467
8300	-1569.902	-1538.181	-31.72046	191294.6	10.30924	0.997095	0.999256	1.00074	1.00291	7.034569
