Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	branch_rate_var[53]	branch_rate_var[54]	branch_rate_var[55]	branch_rate_var[56]	branch_rate_var[57]	branch_rate_var[58]	branch_rate_var[59]	branch_rate_var[60]	branch_rate_var[61]	branch_rate_var[62]	branch_rate_var[63]	branch_rate_var[64]	branch_rate_var[65]	branch_rate_var[66]	branch_rate_var[67]	branch_rate_var[68]	branch_rate_var[69]	branch_rate_var[70]	branch_rate_var[71]	branch_rate_var[72]	branch_rate_var[73]	branch_rate_var[74]	branch_rate_var[75]	branch_rate_var[76]	branch_rate_var[77]	branch_rate_var[78]	branch_rate_var[79]	branch_rate_var[80]	branch_rate_var[81]	branch_rate_var[82]	branch_rate_var[83]	branch_rate_var[84]	branch_rate_var[85]	branch_rate_var[86]	character_indicator	diversification[1]	diversification[2]	extinction_rate[1]	extinction_rate[2]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	n_samp_anc	origin_time	psi[1]	psi[2]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	rates_morpho_all_part[1]	rates_morpho_all_part[2]	rates_morpho_all_part[3]	rates_morpho_all_part[4]	rates_morpho_core[1]	rates_morpho_core[2]	rates_morpho_core[3]	rates_morpho_core[4]	rates_morpho_cranium[1]	rates_morpho_cranium[2]	rates_morpho_cranium[3]	rates_morpho_cranium[4]	rates_morpho_limb[1]	rates_morpho_limb[2]	rates_morpho_limb[3]	rates_morpho_limb[4]	rates_morpho_tooth[1]	rates_morpho_tooth[2]	rates_morpho_tooth[3]	rates_morpho_tooth[4]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	speciation_rate[1]	speciation_rate[2]	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	turnover[1]	turnover[2]	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-6873.68	-5849.878	-1023.803	472599.2	1.11786	0.97922	1.11959	1.15307	1.09705	0.990319	1.07902	1.05846	1.06427	1.01844	1.04285	0.968805	0.947904	1.11278	1.02482	1.02716	1.09474	1.03837	1.06209	1.04332	1.02585	1.0708	1.04772	1.06369	1.10272	1.11093	1.03013	1.06375	1.06634	1.09363	1.01191	1.04079	1.0499	1.03336	1.03034	1.03965	1.07988	1.02754	1.01575	1.06463	1.00537	1.0417	1.09997	1.05569	1.04366	1.07146	1.02624	1.0579	1.02128	1.08079	1.12402	1.01985	1.07232	1.10357	1.0182	1.07161	1.08923	0.972496	0.968813	1.13655	1.02728	0.986598	1.05804	1.09967	1.0161	1.03631	1.07222	1.00575	0.958066	1.00902	1.13478	1.08856	1.04326	1.04298	1.01094	1.08039	1.02057	1.03404	1.08236	1.12937	1.03372	1.02849	1.01339	1.00184	0.957828	1.0562	2	-0.0168171	0.0952884	0.138814	0.0477077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.489	0.289746	0.114287	0.998152	0.999527	1.00047	1.00185	0.998152	0.999527	1.00047	1.00185	0.998152	0.999527	1.00047	1.00185	0.998152	0.999527	1.00047	1.00185	0.998152	0.999527	1.00047	1.00185	0.998152	0.999527	1.00047	1.00185	0.998152	0.999527	1.00047	1.00185	0.121997	0.142996	70.6	70.6	89.8	83.5	83.6	66	66	93.5	83.5	66	70.6	66	72.1	66	86.3	89.3	83.6	72.1	66	61.7	85.8	66	70.6	93.5	66	66	89.3	83.5	93.5	89.3	66	66	66	66	83.6	89.3	70.6	70.6	66	66	70.6	93.5	83.5	70.6	1.13785	0.333629	1.047403	0.04531468	0.04469505	0.001997647
100	-4868.07	-4569.396	-298.6737	928640	0.489776	0.669698	1.33231	0.522048	0.812852	0.948898	0.695492	0.403346	0.60611	0.676827	0.741231	0.717235	0.69829	0.931291	0.649416	0.918699	0.329615	1.34368	0.845363	0.492738	1.19855	0.645917	1.06886	0.526611	0.431281	0.783796	0.46425	0.842254	0.563468	0.561658	0.708444	1.2183	0.628381	0.772769	1.04638	0.751248	0.569441	0.674624	0.783853	0.64089	0.694052	0.772978	0.761442	0.776694	0.624944	0.971646	0.6508	0.673247	0.766226	0.873584	0.288602	0.70147	1.0949	0.80217	0.810266	0.880565	0.218722	0.495314	0.636191	0.653485	0.813699	1.24987	0.61696	0.843059	0.428817	0.824105	0.652525	0.629217	0.94065	1.02571	1.36755	1.05724	1.11307	1.40348	0.666045	0.756156	0.730608	0.78533	0.409869	0.538981	0.754392	1.05254	0.806202	0.798919	0.87752	0.685534	6	-0.0332212	0.046938	0.597179	0.0213987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	125.9408	0.135983	0.00160526	0.998681	0.999663	1.00034	1.00132	0.998681	0.999663	1.00034	1.00132	0.998681	0.999663	1.00034	1.00132	0.998681	0.999663	1.00034	1.00132	0.998681	0.999663	1.00034	1.00132	0.998681	0.999663	1.00034	1.00132	0.998681	0.999663	1.00034	1.00132	0.563958	0.0683367	82.5987	70.6	90.8977	83.5	83.7797	66	66	93.7722	83.5	66	82.3181	66	83.4855	66	88.7708	89.8705	83.9716	81.5883	66	61.7	88.2643	66	79.5041	93.5	66	80.1345	89.3	83.5	96.2179	89.3	66	66	69.477	66	83.8138	93.4954	70.6	79.176	71.0535	66	70.6	96.5106	89.4838	70.6	1.05891	0.313136	0.7354238	-0.357868	0.3179926	0.1011193
200	-4250.829	-3942.583	-308.2456	433798.8	0.0839162	0.0394066	0.00121728	0.416097	0.0956872	0.00800527	0.081537	0.0240575	0.547699	0.976516	2.5078	0.102186	0.0057958	2.60411	0.0611831	0.255289	6.47443	0.108386	4.43915	0.00624331	0.0670207	0.154372	0.0745236	0.393471	0.0504712	0.0582589	0.0926581	0.644374	0.158257	0.742374	0.072241	0.322069	0.299921	0.00725532	0.0139523	0.233867	0.203487	0.0249436	0.00753768	0.229581	0.00297152	0.152597	0.729198	0.0279857	0.796212	0.522803	0.258987	0.120616	0.00515658	0.00151783	0.0131801	0.39813	0.00715492	1.35228	0.839941	0.0068156	0.0402284	0.0859408	0.226503	0.571466	0.451141	0.586245	0.120075	0.194894	0.119935	1.44021	0.791231	1.70193	0.32873	0.18136	2.10253	0.0166699	0.513292	1.46044	0.21926	0.020145	0.469146	0.0533784	0.310981	0.383543	0.131396	0.530667	0.283922	0.0362109	0.154851	0.325236	4	-0.0121595	-0.0399755	0.677871	0.13135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	125.4107	0.145029	0.00733647	0.998071	0.999506	1.00049	1.00193	0.998071	0.999506	1.00049	1.00193	0.998071	0.999506	1.00049	1.00193	0.998071	0.999506	1.00049	1.00193	0.998071	0.999506	1.00049	1.00193	0.998071	0.999506	1.00049	1.00193	0.998071	0.999506	1.00049	1.00193	0.665711	0.0913746	82.5987	70.6	92.3115	83.5	84.949	66	66	94.5448	83.5	66	82.3557	66	83.4132	66	89.7973	90.5587	84.0012	82.8969	66	61.7	88.5038	66	82.657	93.5	66	82.8238	89.3	83.5	96.4219	89.3	66	66	69.1208	66	85.1193	93.4954	70.6	76.8066	71.2933	66	70.6	96.5106	90.1049	70.6	1.01827	1.43749	0.5132883	-1.961931	1.609356	2.590026
300	-4207.536	-3924.715	-282.8212	266912.2	0.0444144	0.012148	0.0041322	0.0312684	0.00541539	0.216898	0.190296	0.00237312	0.23843	0.00707259	1.42409	0.396214	0.0142032	0.00725348	0.158977	0.00495439	0.207277	0.104246	1.36511	0.0133167	0.0292275	0.0221507	0.0876498	0.109745	0.0343765	0.0409991	0.0193524	0.185436	0.022762	0.0199786	3.65421	0.00171948	0.069725	0.00340891	0.0187286	0.0169786	0.539184	0.31884	0.0227711	0.013641	0.00317432	0.236437	0.280847	0.00737261	3.83926	0.273793	0.315802	0.0506447	0.00019562	0.00491132	0.598655	14.0977	0.00218093	0.760121	1.1209	0.00329725	0.0484192	0.10376	1.47218	0.4057	0.0312621	0.0113811	0.0520392	0.112457	0.271413	0.25769	1.44838	8.76172	0.343771	0.00825817	1.51101	0.0193531	2.16747	0.0848687	0.0100049	0.332916	0.459217	0.212596	0.0447194	0.0126097	0.216068	2.04481	0.0689018	0.025386	0.0740416	0.113554	5	-0.0553663	0.00864369	0.47619	0.0442828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	128.6687	0.168151	0.109764	0.997541	0.999371	1.00063	1.00246	0.997541	0.999371	1.00063	1.00246	0.997541	0.999371	1.00063	1.00246	0.997541	0.999371	1.00063	1.00246	0.997541	0.999371	1.00063	1.00246	0.997541	0.999371	1.00063	1.00246	0.997541	0.999371	1.00063	1.00246	0.420824	0.0529265	82.5987	70.6	91.6941	83.5	85.8299	66	66	94.6513	83.5	66	82.3071	66	83.4132	66	89.7973	90.5542	83.9845	83.4367	66.0458	61.7	88.5038	66	83.4467	93.5	66	83.4728	89.3	83.5	96.492	89.3	66.5149	66	69.628	68.783	85.73	93.4259	70.6	76.8066	72.0547	66	70.6	96.5106	90.3699	70.6	1.13157	0.836685	0.4720357	-2.925903	2.085762	4.350405
400	-3974.517	-3731.539	-242.9779	774211.1	0.0231388	0.0373482	0.0591308	0.031921	0.0973631	0.0316038	0.23123	0.0090439	0.459512	0.00676411	0.168194	0.343064	0.0140807	0.04867	0.235015	0.0154881	0.422602	0.00750419	0.051395	0.0248065	0.0690841	0.0467953	0.0138813	0.456948	0.0102026	0.0560753	0.132953	0.0382634	0.000351722	0.154806	0.0191484	0.285025	0.0260446	0.00857505	0.00736517	0.0730303	0.139792	6.38615e-05	0.00839701	0.059792	0.00686267	0.0723859	0.035853	0.00150671	4.23079	0.497726	0.0845869	0.00867802	0.000902599	0.00115294	0.0444532	0.448044	0.0821299	0.000398559	0.637463	0.0117529	0.0301277	0.0105332	2.81605	0.402832	0.0286671	0.003034	0.0466109	0.254503	0.122514	0.277961	0.349838	79.6453	0.0403199	0.00407754	2.68103	0.00159395	0.967349	0.0228566	0.0314686	0.165689	0.181885	0.000908131	0.0369268	0.0449908	0.173414	2.70766	0.0036584	0.119463	0.0368903	0.00107899	1	0.0989117	0.00939905	0.535751	0.024415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	126.1222	0.13218	0.0508868	0.998556	0.999631	1.00037	1.00144	0.998556	0.999631	1.00037	1.00144	0.998556	0.999631	1.00037	1.00144	0.998556	0.999631	1.00037	1.00144	0.998556	0.999631	1.00037	1.00144	0.998556	0.999631	1.00037	1.00144	0.998556	0.999631	1.00037	1.00144	0.634663	0.0338141	82.5987	70.6	91.6941	83.5	85.8228	66	66	94.6888	83.5	70.358	82.8164	66	83.1179	66	89.7973	91.9733	83.9296	83.5253	66.0458	62.4908	88.5038	66.1798	83.4809	93.5	66	83.4878	89.3	83.5	96.4946	89.3	66.5149	66	69.3534	70.5444	85.7284	93.4929	70.6	76.8066	72.0769	66	70.6	96.5106	89.9465	70.6	0.844151	0.722037	1.173596	-2.673942	2.380762	5.668029
500	-3908.361	-3669.876	-238.4852	401379.8	0.00267903	0.890055	0.157281	0.00334393	0.256491	0.0116051	0.103753	0.0197013	0.37195	0.0644033	0.320816	0.0713669	0.763848	0.00129843	0.0224666	0.00206211	0.671015	0.00245394	0.0978075	0.0182559	0.0135244	0.0173881	0.054549	0.0496902	0.000772708	0.124703	0.667894	0.147294	0.000533557	0.0163372	0.0141909	0.316474	0.000858426	0.001491	0.00180115	0.00288453	0.211515	0.0315826	0.0127892	8.56072e-05	0.00534797	0.0234579	0.0212025	0.119231	8.10686	0.297349	0.11111	0.0394175	0.000272764	0.00129775	0.0041705	0.23806	0.101112	0.00182539	0.586662	0.00860733	0.14794	0.0460437	0.411914	1.94173	0.00669003	0.108902	0.128624	0.513798	0.955588	0.906746	0.163375	139.302	0.00248972	0.040227	0.59342	0.00315892	0.419302	0.00181351	0.035845	0.051605	0.118314	0.0106857	0.000940657	0.00678571	0.1522	0.148845	0.0119046	0.0159817	0.0446126	0.00286714	1	0.0153974	0.0380194	0.823098	0.0838967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	125.7801	0.0674607	0.00570495	0.997994	0.999487	1.00051	1.00201	0.997994	0.999487	1.00051	1.00201	0.997994	0.999487	1.00051	1.00201	0.997994	0.999487	1.00051	1.00201	0.997994	0.999487	1.00051	1.00201	0.997994	0.999487	1.00051	1.00201	0.997994	0.999487	1.00051	1.00201	0.838495	0.121916	82.5987	70.6	91.6631	83.5	84.915	66	66	93.9373	83.5	70.7511	82.8164	66	83.1179	66	89.7973	92.479	85.7894	83.2834	66.0458	62.4908	88.5038	67.1558	83.4975	93.5	66	83.4993	89.3	83.5	96.5003	89.3	66.5149	66	70.5988	70.5444	85.7401	92.6406	70.6	76.8066	72.0769	66	70.6	96.5106	90.0858	70.6	0.981637	0.688151	0.2631343	-3.627087	2.141026	4.583992
600	-3877.412	-3647.824	-229.5875	817500.1	0.00140268	0.785866	0.428211	0.00452075	0.0241963	0.652466	0.160365	0.0163284	0.250623	0.00300635	0.555587	0.0358691	0.00690183	0.002405	0.144658	0.00314684	0.501335	0.00955116	0.0712749	0.00271053	0.00464851	0.042	0.000648858	0.00165058	0.000480686	0.0377511	0.286578	0.0286858	0.0107557	0.00309084	0.0199707	0.18718	0.00134103	0.000968154	0.000317355	0.0120438	0.0416406	0.016858	0.00718807	0.00545464	0.00609218	0.0188429	0.0176764	0.00687079	27.2488	0.26866	0.0183955	0.00898691	0.00201519	0.125355	0.122715	0.0553275	0.00426267	0.00277914	1.28546	0.0091892	0.0433916	0.00038343	0.596436	0.907949	0.00271436	0.00978057	0.0683905	0.903245	0.273302	0.539262	0.484147	430.101	0.0495292	0.135156	0.0130596	0.0110009	0.998539	0.00100502	0.444017	0.102072	0.100718	0.20885	0.000386088	0.0185581	0.131111	0.0585291	0.00150808	0.0776601	0.103825	0.0183639	5	0.0116799	0.0423665	0.355191	0.0386322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	129.652	0.129876	0.000928982	0.998595	0.999641	1.00036	1.00141	0.998595	0.999641	1.00036	1.00141	0.998595	0.999641	1.00036	1.00141	0.998595	0.999641	1.00036	1.00141	0.998595	0.999641	1.00036	1.00141	0.998595	0.999641	1.00036	1.00141	0.998595	0.999641	1.00036	1.00141	0.366871	0.0809987	82.5987	70.6	92.3638	83.5	85.903	66	66	94.1347	83.5	71.3226	82.8164	66	83.1179	66	88.8033	92.479	86.2424	83.5987	66.0458	65.1049	88.5038	72.0088	83.4499	93.5	66.9034	83.4506	89.6716	83.5	96.5049	89.3	66.5149	66	68.3624	70.4092	85.6902	93.317	70.6	76.8066	72.0769	66.0581	70.6	96.5106	89.6377	70.6	0.968164	0.476948	0.3855648	-3.540199	2.27471	5.174305
700	-3872.604	-3657.164	-215.4392	564831	0.000464559	2.74699	0.00723398	0.000489372	0.000121436	0.013505	0.0446139	0.0237137	0.207684	0.607863	0.219724	0.0941427	0.000267356	0.00732218	0.0370015	0.000217367	1.16781	0.00598533	0.0121688	0.00429663	0.0254751	0.019109	0.000281756	0.0458187	0.0239217	0.00172461	0.0251803	0.0228944	0.000795787	0.00187802	0.0124235	0.126954	0.0023371	0.0107652	0.00247971	0.00681823	0.0641604	0.104176	0.00483358	0.0885742	0.000773379	0.0408256	0.0380297	0.000235688	55.8164	0.413289	0.00928294	0.00406241	0.000820691	0.000185096	0.446019	0.0216947	0.0040684	0.000371732	0.936854	0.0450861	0.0397852	0.0968905	0.743666	0.584621	0.00306277	0.00459188	0.0797662	0.00692248	0.0392216	0.303219	0.24487	3894.47	0.0322697	0.0551269	0.0211452	0.0100187	1.43988	0.000482518	0.0126712	0.0784749	0.187608	0.036644	0.00353731	0.019678	0.0245018	0.00172062	0.146483	0.00352931	0.0650978	0.0141197	3	0.128769	-0.00425783	0.439781	0.104054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	133.275	0.104499	0.00113213	0.998309	0.999568	1.00043	1.00169	0.998309	0.999568	1.00043	1.00169	0.998309	0.999568	1.00043	1.00169	0.998309	0.999568	1.00043	1.00169	0.998309	0.999568	1.00043	1.00169	0.998309	0.999568	1.00043	1.00169	0.998309	0.999568	1.00043	1.00169	0.56855	0.099796	82.5987	70.6	91.6414	83.5	85.903	66.0827	66	93.8503	83.5	71.9005	82.8164	66	83.1179	66	88.8033	92.4797	86.0449	83.5874	66.0458	65.1049	88.5038	71.9073	83.4881	93.5	66.9034	83.4882	89.6716	83.5	96.5088	89.3	66.5149	66.4625	70.3399	70.4092	85.691	92.5172	70.6	76.8066	69.6813	66.0581	70.6	96.5106	91.2224	74.4184	0.773513	1.04267	0.7702393	-3.612164	2.588865	6.70222
800	-3872.476	-3635.13	-237.3455	401639.5	0.0101202	0.000757393	0.00272815	0.000417876	1.42568	0.287377	0.0767589	0.000638023	0.0665753	0.0447175	0.0256987	0.0888926	0.0104616	9.27332e-05	0.0207035	0.00047212	1.31299	0.0717922	0.139566	0.00661114	0.000589526	0.0099885	0.566038	0.0555556	0.00130344	0.0143769	0.0930506	0.114646	0.0132662	0.386647	0.0103259	0.0747568	0.00276643	0.000831776	0.00192148	0.00494013	0.284693	0.101242	0.00246208	0.056861	0.00849118	0.0717777	0.030485	0.0107855	205.449	0.558362	0.0370853	0.00556962	0.0127787	0.000356561	0.100649	0.736763	0.00497102	0.00466364	25.9479	0.0108985	0.12421	1.08702e-05	0.127463	1.7771	0.0122025	0.00141389	0.00587953	0.0120008	0.0667443	0.183683	0.213941	13981.6	0.0423408	0.0274258	0.00383522	0.00741876	0.845051	0.000267729	0.00691819	0.0449373	0.0661566	0.0738645	0.00019119	0.0354721	0.00163909	0.0047379	0.137542	0.00981213	0.0202205	0.00963092	5	0.0505872	0.0095796	0.885216	0.0153843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	133.8093	0.0478614	0.00232883	0.997995	0.999487	1.00051	1.00201	0.997995	0.999487	1.00051	1.00201	0.997995	0.999487	1.00051	1.00201	0.997995	0.999487	1.00051	1.00201	0.997995	0.999487	1.00051	1.00201	0.997995	0.999487	1.00051	1.00201	0.997995	0.999487	1.00051	1.00201	0.935803	0.0249639	80.8615	70.6	90.0053	83.5	85.903	66.0827	66.1208	93.9883	83.5	70.9174	82.8164	66	83.1179	70.4537	87.8086	91.4588	86.0449	83.4286	66.0458	65.1049	88.5038	71.3346	83.3492	93.5	66.9034	83.3492	92.907	83.5	96.5103	89.3	67.6964	66.4625	68.2375	70.4092	85.7054	93.4403	70.6	76.8066	68.036	66.0581	70.6	96.5106	89.6478	74.4184	0.945942	0.616262	0.5324868	-3.997991	2.595301	6.735588
900	-3874.627	-3638.152	-236.4749	39230.77	0.00445075	0.195572	0.00258497	0.000185749	0.0387083	1.24852	0.0457951	0.0180806	0.187245	0.00120995	0.0178499	0.141501	0.000158165	0.00239429	0.141161	0.00143079	0.233175	0.0202793	0.012047	0.0297501	0.00934027	0.00861319	0.390672	0.0889409	0.00042258	0.0580547	0.0546672	0.0137496	0.00111538	0.0470337	0.00926385	0.0888862	0.0107721	3.53335e-05	0.00014247	0.140965	0.112838	0.0301913	0.000550072	0.203092	0.0174023	0.0499655	0.00193842	0.0449564	191.379	0.181686	0.0123426	0.00861306	0.00536899	0.008032	0.000322192	0.0354509	0.00803626	0.000811987	15.6245	0.0154978	0.0721268	0.0389929	0.151362	7.3751	0.0101411	0.0400522	0.0100026	0.00445899	0.119402	0.124485	0.179689	20425.7	0.0155786	0.118407	0.0419408	0.00295663	0.317713	0.000256429	0.00210036	0.0372421	1.00205	0.171828	0.0026193	0.000783965	0.0632113	0.000350718	0.138047	0.14501	0.075065	0.00752364	5	-0.0143096	-0.0242573	0.324314	0.0522378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	130.0367	0.135673	0.00409077	0.99359	0.998354	1.00163	1.00642	0.99359	0.998354	1.00163	1.00642	0.99359	0.998354	1.00163	1.00642	0.99359	0.998354	1.00163	1.00642	0.99359	0.998354	1.00163	1.00642	0.99359	0.998354	1.00163	1.00642	0.99359	0.998354	1.00163	1.00642	0.310004	0.0279805	80.5879	70.6	90.3114	83.5	85.903	66.0827	66.1208	93.9043	83.5	71.3068	82.8164	66	83.1179	70.4537	87.8086	89.7813	86.0449	83.3222	66.0458	65.1049	87.3634	72.0335	83.4465	93.5	70.1315	83.4465	91.4484	85.3921	96.5103	89.3	67.6964	67.1553	69.0171	70.4092	85.7054	90.5748	70.6	75.006	68.036	66.4246	70.6	96.5106	89.5251	71.9036	1.04616	1.86694	0.9945004	-3.943042	2.806253	7.875055
